id,Abbrev,FullName,Blurb
1,AL,Alabama
2,AK,Alaska
4,AZ,Arizona
5,AR,Arkansas
6,CA,California
8,CO,Colorado
9,CT,Connecticut
10,DE,Delaware
11,DC,DistrictofColumbia
12,FL,Florida
13,GA,Georgia
15,HI,Hawaii
16,ID,Idaho
17,IL,Illinois
18,IN,Indiana
19,IA,Iowa
20,KS,Kansas
21,KY,Kentucky
22,LA,Louisiana
23,ME,Maine
24,MD,Maryland
25,MA,Massachusetts
26,MI,Michigan
27,MN,Minnesota
28,MS,Mississippi
29,MO,Missouri
30,MT,Montana
31,NE,Nebraska
32,NV,Nevada
33,NH,NewHampshire
34,NJ,NewJersey
35,NM,NewMexico
36,NY,NewYork
37,NC,NorthCarolina
38,ND,NorthDakota
39,OH,Ohio
40,OK,Oklahoma
41,OR,Oregon
42,PA,Pennsylvania
44,RI,RhodeIsland
45,SC,SouthCarolina
46,SD,SouthDakota
47,TN,Tennessee
48,TX,Texas
49,UT,Utah
50,VT,Vermont
51,VA,Virginia
53,WA,Washington
54,WV,WestVirginia
55,WI,Wisconsin
56,WY,Wyoming
60,AS,AmericaSamoa
64,FM,FederatedStatesofMicronesia
66,GU,Guam
68,MH,MarshallIslands
69,MP,NorthernMarianaIslands
70,PW,Palau
72,PR,PuertoRico
74,UM,USMinorOutlyingIslands
78,VI,VirginIslandsoftheUnitedStates
